기준년월,광역지자체,티맵카테고리중분류명,광역지자체 검색건수,광역지자체 전년도 검색건수
2018,전국,전체,213090710,0
2018,전국,자연관광,16752311,0
2018,전국,역사관광,8261354,0
2018,전국,체험관광,1778811,0
2018,전국,문화관광,33843954,0
2018,전국,레저스포츠,13053838,0
2018,전국,쇼핑,25689805,0
2018,전국,음식,75657721,0
2018,전국,숙박,26005980,0
2018,전국,기타관광,12046936,0
2019,전국,전체,288097384,213090645
2019,전국,자연관광,20073039,16752308
2019,전국,역사관광,10663962,8261348
2019,전국,체험관광,2100902,1778796
2019,전국,문화관광,43719686,33843935
2019,전국,레저스포츠,16791723,13053828
2019,전국,쇼핑,34184377,25689793
2019,전국,음식,109444281,75657721
2019,전국,숙박,34888530,26005980
2019,전국,기타관광,16230884,12046936
2020,전국,전체,315699091,288097260
2020,전국,자연관광,25868976,20073039
2020,전국,역사관광,11304704,10663958
2020,전국,체험관광,1588810,2100877
2020,전국,문화관광,36041738,43719671
2020,전국,레저스포츠,20082035,16791695
2020,전국,쇼핑,39570106,34184367
2020,전국,음식,129444573,109444261
2020,전국,숙박,37038401,34888508
2020,전국,기타관광,14759748,16230884
2021,전국,전체,375702515,315698942
2021,전국,자연관광,29106298,25868950
2021,전국,역사관광,13413975,11304698
2021,전국,체험관광,1631425,1588810
2021,전국,문화관광,45479805,36041700
2021,전국,레저스포츠,24206795,20081971
2021,전국,쇼핑,40368574,39570094
2021,전국,음식,157835235,129444573
2021,전국,숙박,46018337,37038398
2021,전국,기타관광,17642071,14759748
