유형 중분류명,유형 소분류명,중분류 검색건 수,중분류 검색건 수(비율),소분류 검색건 수,소분류 검색건 수(비율)
기타관광,교통시설,960927,6.1,598990,62.3
기타관광,기타관광,960927,6.1,301512,31.4
기타관광,데이트코스,960927,6.1,60425,6.3
레저스포츠,기타레저스포츠,410399,2.6,41780,10.2
레저스포츠,육상레저스포츠,410399,2.6,323220,78.8
레저스포츠,수상레저스포츠,410399,2.6,45399,11.1
문화관광,기타문화관광지,1661673,10.5,146501,8.8
문화관광,도시공원,1661673,10.5,638023,38.4
문화관광,랜드마크관광,1661673,10.5,126149,7.6
문화관광,테마공원,1661673,10.5,184241,11.1
문화관광,복합관광시설,1661673,10.5,55763,3.4
문화관광,레저스포츠시설,1661673,10.5,72894,4.4
문화관광,공연시설,1661673,10.5,172878,10.4
문화관광,교육시설,1661673,10.5,3624,0.2
문화관광,전시시설,1661673,10.5,261600,15.7
쇼핑,면세점,2646032,16.7,4615,0.2
쇼핑,쇼핑몰,2646032,16.7,1376976,52.0
쇼핑,시장,2646032,16.7,1071766,40.5
쇼핑,전문매장/상가,2646032,16.7,3322,0.1
쇼핑,기타쇼핑시설,2646032,16.7,189353,7.2
숙박,기타숙박,1856036,11.7,4581,0.2
숙박,모텔,1856036,11.7,322929,17.4
숙박,펜션/민박,1856036,11.7,57864,3.1
숙박,호스텔,1856036,11.7,14747,0.8
숙박,호텔,1856036,11.7,1267941,68.3
숙박,콘도미니엄,1856036,11.7,133463,7.2
숙박,캠핑,1856036,11.7,54511,2.9
역사관광,역사유물,521048,3.3,1082,0.2
역사관광,역사유적지,521048,3.3,138458,26.6
역사관광,종교성지,521048,3.3,381508,73.2
음식,간이음식,6191543,39.0,680917,11.0
음식,외국식,6191543,39.0,1832901,29.6
음식,한식,6191543,39.0,2074360,33.5
음식,기타음식,6191543,39.0,38886,0.6
음식,카페/찻집,6191543,39.0,1564479,25.3
자연관광,자연경관(하천/해양),1558082,9.8,1494383,95.9
자연관광,자연경관(산),1558082,9.8,26360,1.7
자연관광,자연생태,1558082,9.8,10168,0.7
자연관광,자연공원,1558082,9.8,27171,1.7
체험관광,웰니스관광,73434,0.5,69019,94.0
체험관광,농/산/어촌체험,73434,0.5,4331,5.9
체험관광,공예체험,73434,0.5,84,0.1
