기준연월,지역명,방문자 수
202001,부산광역시,4.7553538E7
202001,서울특별시,1.61938248E8
202001,대구광역시,3.1418051E7
202001,울산광역시,1.1454919E7
202002,부산광역시,3.5599543E7
202002,서울특별시,1.30166232E8
202002,대구광역시,2.1236884E7
202002,울산광역시,9135910.0
202003,부산광역시,3.22275E7
202003,서울특별시,1.19472356E8
202003,울산광역시,8428497.0
202003,대구광역시,1.6686201E7
202004,부산광역시,3.7445793E7
202004,서울특별시,1.31599391E8
202004,울산광역시,9187759.0
202004,대구광역시,2.2665643E7
202005,서울특별시,1.48125131E8
202005,울산광역시,1.1177576E7
202005,대구광역시,2.7184062E7
202005,부산광역시,4.4204612E7
202006,서울특별시,1.3944442E8
202006,대구광역시,2.5704539E7
202006,부산광역시,4.1832934E7
202006,울산광역시,1.0375424E7
202007,서울특별시,1.51829608E8
202007,울산광역시,1.0647164E7
202007,대구광역시,2.7162961E7
202007,부산광역시,4.3601299E7
202008,서울특별시,1.3110244E8
202008,울산광역시,1.1162924E7
202008,대구광역시,2.6746842E7
202008,부산광역시,4.3502312E7
202009,울산광역시,1.0003004E7
202009,대구광역시,2.570959E7
202009,서울특별시,1.28370476E8
202009,부산광역시,3.9473546E7
202010,부산광역시,4.4231446E7
202010,서울특별시,1.52657396E8
202010,대구광역시,2.8803988E7
202010,울산광역시,1.1588402E7
202011,대구광역시,2.6440306E7
202011,울산광역시,1.0591119E7
202011,부산광역시,4.1900232E7
202011,서울특별시,1.40920458E8
202012,대구광역시,2.3779686E7
202012,울산광역시,9062162.0
202012,부산광역시,3.392684E7
202012,서울특별시,1.11417789E8
