기준연월,업종분류,소비액
202001,여행업,2.78860368E8
202001,운송업,3.924982134E9
202001,쇼핑업,1.13256916499E11
202001,여가서비스업,7.089465378E9
202001,식음료업,1.24269991965E11
202001,숙박업,1.0015580615E10
202002,여가서비스업,5.500795807E9
202002,식음료업,9.2261511418E10
202002,쇼핑업,8.5902641339E10
202002,운송업,1.503976478E9
202002,여행업,1.83055276E8
202002,숙박업,7.002198457E9
202003,숙박업,3.727828433E9
202003,여행업,6.15945E7
202003,운송업,1.07162655E9
202003,쇼핑업,8.4019618698E10
202003,여가서비스업,5.001918147E9
202003,식음료업,7.243202705E10
202004,여행업,7.251E7
202004,식음료업,8.5162794132E10
202004,여가서비스업,5.935702059E9
202004,운송업,1.386323284E9
202004,숙박업,4.610808373E9
202004,쇼핑업,9.388178725E10
202005,숙박업,7.112841286E9
202005,여행업,1.0000804E8
202005,운송업,2.101292498E9
202005,쇼핑업,1.12445325986E11
202005,여가서비스업,7.592476393E9
202005,식음료업,1.17363819414E11
202006,숙박업,7.98260176E9
202006,식음료업,1.09078960019E11
202006,여가서비스업,7.445494123E9
202006,쇼핑업,8.8273102196E10
202006,운송업,2.23210512E9
202006,여행업,6.7534E7
202007,숙박업,9.690498741E9
202007,식음료업,1.17269563475E11
202007,여가서비스업,7.618224436E9
202007,운송업,2.735124098E9
202007,여행업,1.09054E8
202007,쇼핑업,8.5095549978E10
202008,숙박업,1.1880255712E10
202008,여행업,1.152688E8
202008,운송업,2.044596289E9
202008,쇼핑업,8.8543340757E10
202008,여가서비스업,8.456907504E9
202008,식음료업,1.15368310707E11
202009,숙박업,5.947143168E9
202009,식음료업,8.7845665196E10
202009,여가서비스업,6.552059639E9
202009,쇼핑업,9.0847132816E10
202009,운송업,1.708089298E9
202009,여행업,8.30139E7
202010,식음료업,1.02886185039E11
202010,여행업,7.5744E7
202010,여가서비스업,8.145379927E9
202010,쇼핑업,9.6807134454E10
202010,운송업,2.618666247E9
202010,숙박업,7.974950648E9
202011,숙박업,8.354672646E9
202011,여행업,1.158316E8
202011,운송업,1.917327862E9
202011,쇼핑업,9.58032916E10
202011,여가서비스업,7.283540232E9
202011,식음료업,1.03706639705E11
202012,숙박업,6.063382692E9
202012,여행업,5.95835E7
202012,운송업,1.007280292E9
202012,쇼핑업,8.2507653088E10
202012,여가서비스업,4.76524608E9
202012,식음료업,6.1040821731E10
